Designator,Mid X,Mid Y,Rotation,Layer
BT1,198.405,-73.015,180.0,top
D1,87.524997,-63.514999,90.0,top
D10,125.675,-77.514999,90.0,top
D11,125.675,-96.514999,90.0,top
D12,125.625,-115.514999,90.0,top
D13,144.675,-54.514999,90.0,top
D14,144.675,-73.514999,90.0,top
D15,144.675002,-93.014999,90.0,top
D16,144.675001,-112.014999,90.0,top
D17,163.725,-58.514999,90.0,top
D18,163.724999,-77.514999,90.0,top
D19,163.724999,-96.514999,90.0,top
D2,87.525001,-82.514999,90.0,top
D20,163.724999,-115.514999,90.0,top
D21,182.774999,-60.514999,90.0,top
D22,182.775,-79.514999,90.0,top
D23,182.775,-98.514999,90.0,top
D24,182.775,-117.514999,90.0,top
D25,144.675,-131.014999,90.0,top
D26,163.724999,-134.514999,90.0,top
D27,183.41,-130.924999,90.0,top
D28,186.175001,-105.515,270.0,top
D29,187.854998,-119.495001,270.0,top
D3,87.525,-101.514999,90.0,top
D4,87.675,-120.514999,90.0,top
D5,106.675,-63.514999,90.0,top
D6,106.575,-82.514999,90.0,top
D7,106.575,-101.514999,90.0,top
D8,106.575,-121.014999,90.0,top
D9,125.675,-58.514999,90.0,top
J1,200.675,-91.555,0.0,top
S1_4,78.0,-61.350002,180.0,bottom
S1_3,78.0,-61.350002,180.0,bottom
S1_2,78.0,-60.8,0.0,top
S1,78.0,-60.8,0.0,top
S10_2,97.05,-80.400001,180.0,bottom
S10,97.05,-79.85,0.0,top
S11_4,97.05,-99.450001,180.0,bottom
S11_3,97.05,-99.450001,180.0,bottom
S11_2,97.05,-98.9,0.0,top
S11,97.05,-98.9,0.0,top
S12_2,97.05,-118.500001,180.0,bottom
S12,97.05,-117.95,0.0,top
S13_2,97.05,-63.240001,180.0,bottom
S13,97.05,-58.91,0.0,top
S14_2,97.05,-82.29,180.0,bottom
S14,97.05,-77.96,0.0,top
S15_4,97.05,-101.34,180.0,bottom
S15_3,97.05,-101.34,180.0,bottom
S15_2,97.05,-97.01,0.0,top
S15,97.05,-97.01,0.0,top
S16_2,97.05,-120.39,180.0,bottom
S16,97.05,-116.06,0.0,top
S17_2,116.1,-56.270001,180.0,bottom
S17,116.1,-55.72,0.0,top
S18_2,116.1,-75.320001,180.0,bottom
S18,116.1,-74.77,0.0,top
S19_2,116.1,-94.370001,180.0,bottom
S19,116.1,-93.82,0.0,top
S2_4,78.0,-63.240001,180.0,bottom
S2_3,78.0,-63.240001,180.0,bottom
S2_2,78.0,-58.91,0.0,top
S2,78.0,-58.91,0.0,top
S20_2,116.1,-113.420001,180.0,bottom
S20,116.1,-112.87,0.0,top
S21_2,116.1,-58.16,180.0,bottom
S21,116.1,-53.83,0.0,top
S22_2,116.1,-77.21,180.0,bottom
S22,116.1,-72.88,0.0,top
S23_2,116.1,-96.26,180.0,bottom
S23,116.1,-91.93,0.0,top
S24_2,116.1,-115.31,180.0,bottom
S24,116.1,-110.98,0.0,top
S25_2,135.15,-52.460001,180.0,bottom
S25,135.15,-51.91,0.0,top
S26_2,135.15,-71.510001,180.0,bottom
S26,135.15,-70.96,0.0,top
S27_2,135.15,-90.560001,180.0,bottom
S27,135.15,-90.01,0.0,top
S28_2,135.15,-109.610001,180.0,bottom
S28,135.15,-109.06,0.0,top
S29_2,135.15,-54.35,180.0,bottom
S29,135.15,-50.02,0.0,top
S3_2,78.0,-80.400002,180.0,bottom
S3,78.0,-79.85,0.0,top
S30_2,135.15,-73.4,180.0,bottom
S30,135.15,-69.07,0.0,top
S31_2,135.15,-92.45,180.0,bottom
S31,135.15,-88.12,0.0,top
S32_2,135.15,-111.5,180.0,bottom
S32,135.15,-107.17,0.0,top
S33_2,154.2,-56.270002,180.0,bottom
S33,154.2,-55.72,0.0,top
S34_2,154.2,-75.320001,180.0,bottom
S34,154.2,-74.77,0.0,top
S35_2,154.2,-94.370001,180.0,bottom
S35,154.2,-93.82,0.0,top
S36_2,154.2,-113.420001,180.0,bottom
S36,154.2,-112.87,0.0,top
S37_2,154.2,-58.160001,180.0,bottom
S37,154.2,-53.83,0.0,top
S38_2,154.2,-77.21,180.0,bottom
S38,154.2,-72.88,0.0,top
S39_2,154.2,-96.26,180.0,bottom
S39,154.2,-91.93,0.0,top
S4_2,78.0,-82.290001,180.0,bottom
S4,78.0,-77.96,0.0,top
S40_2,154.2,-115.31,180.0,bottom
S40,154.2,-110.98,0.0,top
S41_2,173.25,-58.175002,180.0,bottom
S41,173.25,-57.625,0.0,top
S42_2,173.25,-77.225001,180.0,bottom
S42,173.25,-76.675,0.0,top
S43_2,173.25,-96.275001,180.0,bottom
S43,173.25,-95.725,0.0,top
S44_2,173.25,-115.325001,180.0,bottom
S44,173.25,-114.775,0.0,top
S45_2,173.25,-60.065001,180.0,bottom
S45,173.25,-55.735,0.0,top
S46_2,173.25,-79.115,180.0,bottom
S46,173.25,-74.785,0.0,top
S47_2,173.25,-98.165,180.0,bottom
S47,173.25,-93.835,0.0,top
S48_2,173.25,-117.215,180.0,bottom
S48,173.25,-112.885,0.0,top
S49_2,135.15,-128.660001,180.0,bottom
S49,135.15,-128.11,0.0,top
