Designator,Mid X,Mid Y,Rotation,Layer
BT2,163.0,-78.0,180.0,top
D1,38.1,-53.34,90.0,top
D10,95.25,-72.39,90.0,top
D11,114.3,-72.39,90.0,top
D12,133.35,-72.39,90.0,top
D13,38.1,-86.36,90.0,top
D14,57.15,-86.36,90.0,top
D15,76.2,-86.36,90.0,top
D16,95.25,-86.36,90.0,top
D17,114.3,-86.36,90.0,top
D18,133.35,-86.36,90.0,top
D19,38.1,-105.41,90.0,top
D2,57.15,-53.34,90.0,top
D20,57.15,-105.41,90.0,top
D21,76.2,-105.41,90.0,top
D22,95.25,-105.41,90.0,top
D23,114.3,-105.3,90.0,top
D24,133.35,-105.41,90.0,top
D25,107.185,-123.864999,90.0,top
D26,128.39401,-122.991276,75.0,top
D27,149.876266,-129.873937,55.0,top
D3,76.2,-53.34,90.0,top
D4,95.25,-53.34,90.0,top
D5,114.3,-53.34,90.0,top
D6,133.35,-53.34,90.0,top
D7,38.1,-72.39,90.0,top
D8,57.15,-72.39,90.0,top
D9,76.2,-72.39,90.0,top
S1_2,47.625,-49.79,180.0,top
S1,47.61,-49.775,180.0,bottom
S10_2,104.775,-68.84,180.0,top
S10,104.76,-68.825,180.0,bottom
S11_2,123.825,-68.84,180.0,top
S11,123.81,-68.825,180.0,bottom
S12_2,142.875,-68.84,180.0,top
S12,142.86,-68.825,180.0,bottom
S13_2,47.625,-87.89,180.0,top
S13,47.62,-87.875,180.0,bottom
S14_2,66.675,-87.89,180.0,top
S14,66.66,-87.875,180.0,bottom
S15_2,85.725,-87.89,180.0,top
S15,85.7,-87.875,180.0,bottom
S16_2,104.775,-87.89,180.0,top
S16,104.77,-87.875,180.0,bottom
S17_2,123.825,-87.89,180.0,top
S17,123.81,-87.875,180.0,bottom
S18_2,142.875,-87.89,180.0,top
S18,142.875,-87.875,180.0,bottom
S19_2,47.625,-106.94,180.0,top
S19,47.62,-106.915,180.0,bottom
S2_2,66.675,-49.79,180.0,top
S2,66.66,-49.785,180.0,bottom
S20_2,66.675,-106.94,180.0,top
S20,66.66,-106.915,180.0,bottom
S21_2,85.725,-106.94,180.0,top
S21,85.7,-106.915,180.0,bottom
S22_2,104.775,-106.94,180.0,top
S22,104.77,-106.915,180.0,bottom
S23_2,123.825,-106.94,180.0,top
S23,123.81,-106.915,180.0,bottom
S24_2,142.875,-106.94,180.0,top
S24,142.875,-106.915,180.0,bottom
S25_2,116.71,-126.665,180.0,top
S25,116.689999,-126.664999,180.0,bottom
S26_2,137.52,-127.634851,165.0,top
S26,137.507223,-128.272699,195.0,bottom
S27_2,157.595939,-135.523603,145.0,top
S27,157.789643,-136.182858,215.02,bottom
S3_2,85.725,-49.79,180.0,top
S3,85.72,-49.785,180.0,bottom
S4_2,104.775,-49.79,180.0,top
S4,104.76,-49.785,180.0,bottom
S5_2,123.825,-49.79,180.0,top
S5,123.82,-49.785,180.0,bottom
S6_2,142.875,-49.79,180.0,top
S6,142.87,-49.79,180.0,bottom
S7_2,47.625,-68.84,180.0,top
S7,47.62,-68.825,180.0,bottom
S8_2,66.675,-68.84,180.0,top
S8,66.66,-68.825,180.0,bottom
S9_2,85.725,-68.84,180.0,top
S9,85.725,-68.825,180.0,bottom
SW1,171.6,-76.4,270.0,top
U1,163.83,-56.16,0.0,top
U2,161.29,-56.16,0.0,bottom
